"Longitude","Latitude","Admin","Year","disease"
74.379777,31.564221,"-999",2007,"dengue"
74.260452,31.503904,"-999",2007,"dengue"
74.293277,31.54098,"-999",2007,"dengue"
75.917221,31.532221,"-999",2011,"dengue"
74.254128,31.48624,"2",2019,"dengue"
74.297523,31.484533,"-999",2010,"dengue"
74.35838176,31.46641292,"2",2006,"dengue"
73.083328,31.41667,"-999",2011,"dengue"
73.7,31.45,"-999",2011,"dengue"
75.38977786,31.35482794,"2",2005,"dengue"
-110.9444,31.3076,"-999",2009,"dengue"
72.36535262,31.31838172,"2",2006,"dengue"
75.57917,31.325556,"-999",2010,"dengue"
36.786732,31.253321,"0",2015,"dengue"
73.14835879,31.23917976,"2",2011,"dengue"
75.55370738,31.21380784,"2",2005,"dengue"
74.44667,31.11556,"-999",2013,"dengue"
76.14292135,31.11150659,"2",2005,"dengue"
74.15842269,31.05417385,"2",2011,"dengue"
76.833336,31.083332,"2",2018,"dengue"
112.016602,31.0152,"1",2015,"dengue"
-110.2355081,30.98847231,"2",2005,"dengue"
71.24784287,30.97318464,"2",2011,"dengue"
72,31,"-999",2009,"dengue"
76.003403,30.996401,"2",2015,"dengue"
76.5,31,"-999",2012,"dengue"
78.002899,30.996401,"2",2017,"dengue"
78.5,31,"2",2015,"dengue"
34.865101,30.921,"0",2017,"dengue"
72.5488294,30.87917373,"2",2011,"dengue"
75.85,30.9,"-999",2005,"dengue"
31,30.83333,"1",2016,"dengue"
75.82411698,30.81069306,"2",2003,"dengue"
76.023552,30.79953,"2",2017,"dengue"
75.15800295,30.76706388,"2",2005,"dengue"
120.758543,30.753924,"2",2019,"dengue"
-112.1573,30.71501,"-999",2014,"dengue"
73.68465788,30.70896403,"2",2011,"dengue"
76.647018,30.74572,"2",2016,"dengue"
76.76827789,30.73383897,"2",2002,"dengue"
76.9585491,30.71009499,"2",2006,"dengue"
74.75835,30.67238,"-999",2013,"dengue"
75.85031,30.69739,"-999",2013,"dengue"
76.221062,30.702999,"2",2015,"dengue"
76.718666,30.703846,"-999",2010,"dengue"
76.86301,30.69792,"-999",2013,"dengue"
76.34949312,30.63563898,"2",2005,"dengue"
72.900002,30.616667,"-999",2008,"dengue"
72.89454144,30.54847801,"2",2011,"dengue"
74.39535912,30.56047034,"2",2005,"dengue"
114.34234,30.5453899,"1",2019,"dengue"
76.58671,30.47276,"-999",2012,"dengue"
120.2985013,30.4187503,"2",2018,"dengue"
75.55,30.38333,"-999",2013,"dengue"
-97.78184749,30.33472978,"2",1980,"dengue"
72.01795475,30.3697417,"2",2011,"dengue"
73.38664,30.34104,"-999",2013,"dengue"
112.190277,30.350281,"2",2015,"dengue"
73.24405594,30.30185431,"2",2011,"dengue"
74.53061874,30.29464627,"2",2005,"dengue"
76.400284,30.32667,"-999",2010,"dengue"
78.037033,30.314802,"-999",2006,"dengue"
74.534889,30.28735,"-999",2011,"dengue"
78.005676,30.267618,"2",2016,"dengue"
79.255302,30.259001,"1",2016,"dengue"
120.15515,30.2741499,"2",2017,"dengue"
120.20523,30.2572699,"2",2018,"dengue"
74.9472,30.2092,"-999",2008,"dengue"
75.83334,30.23333,"-999",2013,"dengue"
120.16929,30.2425899,"2",2018,"dengue"
71.475281,30.195557,"-999",2011,"dengue"
74.9414,30.20712,"-999",2013,"dengue"
120.25,30.16667,"-999",2014,"dengue"
121.269608,30.173625,"-999",2004,"dengue"
77.283333,30.1,"-999",2008,"dengue"
71.03881341,30.05319892,"2",2011,"dengue"
76.718,30.0766,"-999",2008,"dengue"
72.40510961,30.01037931,"2",2011,"dengue"
77.54385,29.977242,"-999",1997,"dengue"
78.16666,29.96667,"-999",2012,"dengue"
120.586109,29.995762,"2",2015,"dengue"
122.20778,29.9853899,"2",2019,"dengue"
71.40370374,29.93923333,"2",2011,"dengue"
73.8833,29.9167,"-999",2013,"dengue"
75.43,29.94,"2",2013,"dengue"
121.55468,29.8861499,"2",2018,"dengue"
121.54195,29.875,"-999",2013,"dengue"
71.6893126,29.67407667,"2",2011,"dengue"
76.98333,29.68333,"-999",2013,"dengue"
73.025307,29.64106,"-999",2011,"dengue"
73.01809306,29.60966794,"2",2011,"dengue"
106.567299,29.5734,"2",2015,"dengue"
75.028524,29.536872,"-999",1998,"dengue"
77.683334,29.466667,"-999",2010,"dengue"
80.56367998,29.41949673,"2",2008,"dengue"
76.969814,29.398628,"-999",1997,"dengue"
-110.666672,29.33333,"-999",2010,"dengue"
120.0746799,29.3055799,"2",2009,"dengue"
120.086524,29.310913,"-999",2009,"dengue"
75.654888,29.285201,"-999",1996,"dengue"
120.221579,29.253418,"-999",2009,"dengue"
75.80474978,29.22039493,"2",1996,"dengue"
76.299348,29.241398,"-999",1996,"dengue"
119.928569,29.208842,"-999",2009,"dengue"
119.961709,29.218647,"-999",2009,"dengue"
75.473835,29.191619,"-999",1996,"dengue"
-110.9655,29.0898,"-999",2008,"dengue"
-110.92619,29.08668,"-999",2012,"dengue"
75.813875,29.105827,"-999",1996,"dengue"
119.64421,29.10678,"-999",2014,"dengue"
-111.00827,29.061872,"-999",2005,"dengue"
-110.966667,29.066668,"-999",2009,"dengue"
75.801144,29.072975,"-999",1996,"dengue"
